Basin,nrows,ncols,xllcorner,yllcorner
boise,49,70,-1626000.00,2406000.00
clearwater,111,104,-1616000.00,2636000.00
cowlitz_lewis,74,58,-2066000.00,2804000.00
green,35,34,-1974576.00,2937000.00
lower_snake,236,257,-1810000,2445000
mill,21,29,-3424000.00,5494000.00
powder,50,64,-1756000,2575000
puyallup,34,38,-1988000,2912000
rogue,99,100,-2292000,2418000.00
samish,13,15,-1952000.00,3102000.00
skagit,73,76,-1960000.00,3024000.00
upper_snake,165,252,-1608166,2201845
umpqua,86,82,-1120000,1248000
willamette,141,89,-2170000.00,2552000.00
willow,48,32,-1292000.00,2308000.00
willowcreek_nwp,41,46,-1873153,2684194
wynoochee,30,19,-2092000.00,2968000.00
